,video_id,video_title,upload_date,view_count,like_count,comment_count
0,n8bLutlAfUc,SIDEMEN FAMILY FEUD 2,2022-02-06,6892324,386544,10559
1,xP8y54cbyk0,"SIDEMEN THAT FINDS $250,000 LAMBORGHINI WINS IT",2022-01-30,6352325,385047,13557
2,p1dfV9up_MY,SIDEMEN DRINK ONE COLOUR FOR 24 HOURS CHALLENGE,2022-01-23,8084022,328922,8370
3,Q9hy5ZxXaZA,"SIDEMEN HIDE AND SEEK IN $20,000,000 SPANISH MANSION",2022-01-16,6279800,323609,8247
4,PeCBE33DYYI,THE GREATEST SIDEMEN MOMENTS 2021,2022-01-09,4907846,308143,8587
5,lNo2tQ6QfNg,"SIDEMEN $10,000 vs $100 NEW YEARS EVE",2022-01-02,9713975,424737,13150
6,9anoXkLeS1g,SIDEMEN CHRISTMAS MUKBANG,2021-12-26,7821207,291284,6836
7,hiehLFrTlRs,20 WOMEN VS 1 SIDEMEN: KSI EDITION,2021-12-19,13749195,667906,23428
8,7Oa-GtZE9tE,"SIDEMEN $100,000 HOT VS COLD HOLIDAY",2021-12-12,12551842,520262,20559
9,GfWL0-dI3Dc,SIDEMEN PUB GOLF (EUROPE EDITION),2021-12-05,8697494,401835,11950
10,DSEnADJ-tJ0,SIDEMEN HIDE & SEEK IN THE WORLD&#39;S BIGGEST TOY STORE,2021-11-28,7682180,355173,9614
11,zijF6-hXVdQ,SIDEMEN EXTREME ROBOT WARS (BATTLE BOTS),2021-11-21,6048282,345487,9577
12,EFxuUSpO0Zg,"SIDEMEN $100,000 EXTREME TAG",2021-11-14,10574010,571984,16926
13,G9b7clmSd4g,SIDEMEN SILENT LIBRARY,2021-11-07,11902700,673256,23769
14,arXJOceVJ7w,SIDEMEN EXTREME BAKE OFF,2021-10-31,11102277,353515,13394
15,QzB2CP1kv4Q,SIDEMEN ABANDONED CHALLENGE,2021-10-24,17481958,465935,15917
16,wufks28CiYw,SIDEMEN WHO WANTS TO BE A MILLIONAIRE 2,2021-10-17,13454560,425380,15437
17,xYsJLjf8jt0,SIDEMEN £500 CAR CHALLENGE,2021-10-10,15969097,503725,16961
18,8ZgFXXY3bu0,SIDEMEN HIDE AND SEEK IN A NUCLEAR BUNKER,2021-10-03,8521175,374601,11499
19,GzdNMzvhNXY,SIDEMEN VS 100 KIDS FOOTBALL MATCH,2021-09-26,12262587,475711,22347
20,E_8kjvXPZIM,"SIDEMEN $10,000 vs $100 CAMPING",2021-09-19,19423118,484006,26889
21,p4JeRmYxGIg,SIDEMEN vs ONLYFANS OLYMPICS,2021-09-12,11628191,555272,27665
